iter	RMSE
0	0.5648628948
1	0.5586566787
2	0.5521953542
3	0.5456175733
4	0.5397252496
5	0.53391059
6	0.5271441663
7	0.5203773802
8	0.5153850404
9	0.5099179878
10	0.5038308478
11	0.4989267077
12	0.4931056888
13	0.4877705638
14	0.4833333356
15	0.4791121779
16	0.4744312579
17	0.4699271954
18	0.4651684847
19	0.4606176726
20	0.455826899
21	0.4512205022
22	0.4465571815
23	0.4423554051
24	0.4391952844
25	0.4350691129
26	0.4313056857
27	0.427772801
28	0.4242012685
29	0.4206753395
30	0.4164853791
31	0.4131553326
32	0.408816426
33	0.4054828587
34	0.4021177806
35	0.398672433
36	0.3951020707
37	0.3912027034
38	0.3874579897
39	0.3841718486
40	0.3810084975
41	0.3779621543
42	0.3750572934
43	0.371796202
44	0.3684145591
45	0.3652659684
46	0.3630756096
47	0.3599572885
48	0.3571367188
49	0.3539006447
50	0.3515956641
51	0.348825956
52	0.346331117
53	0.343904082
54	0.3408128313
55	0.33749217
56	0.3343961763
57	0.3321271459
58	0.3296834261
59	0.3279081798
60	0.3254240564
61	0.3228034646
62	0.3207426003
63	0.318146806
64	0.3155894495
65	0.3131350793
66	0.3111071791
67	0.3085774408
68	0.3066604985
69	0.303922258
70	0.3013641292
71	0.2988765003
72	0.2965875534
73	0.2942968152
74	0.2931104279
75	0.2916267863
76	0.2896176752
77	0.2877972307
78	0.2860439508
79	0.284484658
80	0.2827410235
81	0.2805660359
82	0.2792546159
83	0.2773162493
84	0.2759481107
85	0.2737251051
86	0.2719632868
87	0.2702840481
88	0.2683535845
89	0.2663811334
90	0.264538836
91	0.2628311847
92	0.2613767065
93	0.2596212178
94	0.2574404371
95	0.2564602558
96	0.2554519257
97	0.2541159524
98	0.2530663639
99	0.2513295884
100	0.2500729234
101	0.2479795003
102	0.2469129217
103	0.2454360686
104	0.2440903395
105	0.2425090715
106	0.2409795543
107	0.2398505016
108	0.2386873021
109	0.2372075344
110	0.2362069376
111	0.2347341349
112	0.2333968282
113	0.2323020109
114	0.2312591334
115	0.2294997412
116	0.2283253577
117	0.2270153068
118	0.22549666
119	0.2249332358
120	0.2240123943
121	0.222628751
122	0.2215264648
123	0.2207989088
124	0.2195414343
125	0.2185259836
126	0.2172401658
127	0.2164315042
128	0.2154003449
129	0.2145448305
130	0.2140689905
131	0.2135171911
132	0.2125064973
133	0.2116474916
134	0.2109923099
135	0.2099905295
136	0.2088831437
137	0.2078715649
138	0.2067987896
139	0.205958347
140	0.2048265128
141	0.2042110445
142	0.203396712
143	0.2027795423
144	0.2019180825
145	0.2011128785
146	0.2006771194
147	0.1997473042
148	0.1988552943
149	0.1975404336
150	0.1967239947
151	0.1957702824
152	0.1951093263
153	0.1939428389
154	0.1934064959
155	0.192636954
156	0.191731299
157	0.1908366564
158	0.1899855635
159	0.188738908
160	0.1881958969
161	0.1876399105
162	0.1869346656
163	0.186069044
164	0.1848966558
165	0.1841604989
166	0.1831984558
167	0.1828462267
168	0.1821418791
169	0.1810348081
170	0.1801122662
171	0.1796773649
172	0.1792242697
173	0.1780230406
174	0.1774474111
175	0.1769374511
176	0.1764053053
177	0.1758038414
178	0.1753867339
179	0.1747340355
180	0.1742330276
181	0.1737517452
182	0.1729851401
183	0.1724661788
184	0.1720670644
185	0.1713017539
186	0.1704961401
187	0.1695841993
188	0.1689398939
189	0.1685295268
190	0.1677962559
191	0.1667899281
192	0.1663056616
193	0.1656260967
194	0.1648371354
195	0.1644509535
196	0.1637477112
197	0.1629186069
198	0.1624413701
199	0.1620729494
200	0.1615723861
201	0.1609197408
202	0.1599656378
203	0.1591717357
204	0.1586941161
205	0.1580622072
206	0.1575612144
207	0.1572462179
208	0.156968708
209	0.156586045
210	0.1559394576
211	0.1556593418
212	0.1552828135
213	0.1545804727
214	0.153913548
215	0.1529095142
216	0.1522857177
217	0.1519642589
218	0.1515086517
219	0.1511849624
220	0.1503873565
221	0.1496354519
222	0.1489600311
223	0.1483161779
224	0.1476374101
225	0.1472514518
226	0.1467407968
227	0.1461089633
228	0.1454756363
229	0.1451150046
230	0.1446994333
231	0.1442035635
232	0.1437262446
233	0.1433314048
234	0.1429121217
235	0.1423059984
236	0.1416541251
237	0.1415118405
238	0.140787361
239	0.1401219784
240	0.1395827129
241	0.1389572781
242	0.1386938551
243	0.1380886652
244	0.1377660487
245	0.1371950617
246	0.1369815147
247	0.1367503379
248	0.1362371198
249	0.136049428
250	0.1358097641
251	0.1350775121
252	0.1344383406
253	0.1341191925
254	0.1335018655
255	0.133005721
256	0.1326803468
257	0.1321290665
258	0.1316557561
259	0.1310587248
260	0.1305539387
261	0.1303744008
262	0.1300978887
263	0.1297845705
264	0.1292468237
265	0.1289366991
266	0.1286623201
267	0.1280503279
268	0.1275874878
269	0.127129948
270	0.1266338707
271	0.126116592
272	0.1256575958
273	0.1250668246
274	0.1245283908
275	0.124297313
276	0.1238104655
277	0.1233799954
278	0.1231725256
279	0.1226784675
280	0.1224557053
281	0.1221693575
282	0.1219556782
283	0.1215488736
284	0.121148349
285	0.1207540158
286	0.1203413627
287	0.1199095645
288	0.1195322426
289	0.1191607857
290	0.1185277381
291	0.1183020621
292	0.1179670538
293	0.1176638548
294	0.1171346709
295	0.1168358933
296	0.1162240531
297	0.1159305499
298	0.1154680424
299	0.1150770195
300	0.1147183069
301	0.1143392443
302	0.1139916572
303	0.1137104105
304	0.1134240239
305	0.1128295695
306	0.1124868003
307	0.1121494077
308	0.1118173138
309	0.1115365448
310	0.1111858293
311	0.1106349355
312	0.1100554787
313	0.1097330991
314	0.1091969675
315	0.1087096283
316	0.1083916344
317	0.1081582727
318	0.1076357202
319	0.1073684135
320	0.1070550282
321	0.1065803858
322	0.1063171441
323	0.1058049557
324	0.1055462976
325	0.1050423268
326	0.1045447677
327	0.104019733
328	0.1035019461
329	0.1031718934
330	0.1026913225
331	0.1021858141
332	0.1017164793
333	0.1012510853
334	0.1009435691
335	0.1004840967
336	0.1000304697
337	0.09951483718
338	0.09904025649
339	0.09873660698
340	0.09829466466
341	0.0978319279
342	0.09751560414
343	0.09722043588
344	0.09672322042
345	0.0965254585
346	0.09632974054
347	0.09587901019
348	0.09557247937
349	0.09508714612
350	0.0946455665
351	0.09435899169
352	0.09392293962
353	0.09345084781
354	0.09302373589
355	0.09274535406
356	0.0922830193
357	0.09200967951
358	0.09159043027
359	0.09132135287
360	0.09102220482
361	0.09071702538
362	0.09042467202
363	0.09024165566
364	0.08998414658
365	0.08973109802
366	0.08954995375
367	0.08930128084
368	0.08902009285
369	0.08877789035
370	0.08833348816
371	0.08815491643
372	0.08788158486
373	0.08764588508
374	0.08737866743
375	0.08714910896
376	0.08688786096
377	0.08666429166
378	0.0864446575
379	0.08626794915
380	0.08601448106
381	0.0858005424
382	0.08562564471
383	0.08537784538
384	0.0851694517
385	0.08492714301
386	0.08472420727
387	0.08452488415
388	0.08432911356
389	0.08390286348
390	0.08354991971
391	0.08331949813
392	0.08313129049
393	0.08295822034
394	0.08278692402
395	0.08260194956
396	0.08243234043
397	0.08220860193
398	0.08202842117
399	0.08180957076
400	0.08163413272
401	0.08142005459
402	0.08124923826
403	0.08091903745
404	0.0805434091
405	0.08033600635
406	0.08001486304
407	0.07984682835
408	0.07968426936
409	0.07931507188
410	0.07914949508
411	0.07889361887
412	0.07873080433
413	0.07857123278
414	0.07820873684
415	0.07805201434
416	0.07769320994
417	0.07736299572
418	0.07711537788
419	0.07695750457
420	0.07680365429
421	0.07647867364
422	0.07638079364
423	0.07605860397
424	0.07596158723
425	0.07572107443
426	0.07556729587
427	0.07547161054
428	0.07512826703
429	0.07497676271
430	0.07488183318
431	0.07478796489
432	0.07447332576
433	0.07438026522
434	0.07414788714
435	0.07399955923
436	0.07370653371
437	0.07339787919
438	0.07330675835
439	0.0732166351
440	0.07307011648
441	0.07298106283
442	0.07264939606
443	0.07256101853
444	0.07225760565
445	0.07203448922
446	0.07189169923
447	0.07180423215
448	0.07171777704
449	0.07157638119
450	0.07149088095
451	0.07116651477
452	0.07088941185
453	0.07059456655
454	0.07051027279
455	0.07037118657
456	0.07028782411
457	0.06999588832
458	0.06978269639
459	0.06964652922
460	0.06956231845
461	0.06947912724
462	0.06939694145
463	0.06931574724
464	0.06900163813
465	0.0688673571
466	0.0687867562
467	0.06857979139
468	0.06844769246
469	0.06818431117
470	0.06790176569
471	0.06782285653
472	0.06769234297
473	0.06761434935
474	0.06753729332
475	0.06723176082
476	0.06703164952
477	0.0669037675
478	0.06677722102
479	0.06670088126
480	0.06662545496
481	0.06635345005
482	0.06606110025
483	0.06593602821
484	0.06564701636
485	0.06552380212
486	0.06523809084
487	0.06511670731
488	0.06504197423
489	0.06496813379
490	0.06468510704
491	0.06456544642
492	0.06449215869
493	0.0642308523
494	0.06395177942
495	0.06367537026
496	0.06355764345
497	0.06328438741
498	0.06316840463
499	0.06309580941
500	0.06282538938
501	0.06271108445
502	0.06258519933
503	0.06251406197
504	0.06240087926
505	0.06231445432
506	0.06204676429
507	0.06193529359
508	0.06186549685
509	0.06179652496
510	0.06153133265
511	0.06142142242
512	0.06133737427
513	0.06107490646
514	0.06081495972
515	0.06070716842
516	0.06063893954
517	0.06055633839
518	0.060298796
519	0.06019257898
520	0.06012565214
521	0.05987077413
522	0.0597660789
523	0.05969962461
524	0.05961925435
525	0.05936673297
526	0.0592635586
527	0.05919836022
528	0.05894844962
529	0.05884674921
530	0.05876775333
531	0.05853304267
532	0.05843274232
533	0.05836849964
534	0.05817474697
535	0.05798336186
536	0.05775224826
537	0.0576527624
538	0.05740139118
539	0.05724961851
540	0.05700205074
541	0.05685256462
542	0.05666414984
543	0.05651584142
544	0.05627324604
545	0.05612716543
546	0.05605085154
547	0.05586518498
548	0.05558572077
549	0.05534873276
550	0.05516786923
551	0.05493442712
552	0.05479025013
553	0.05461174191
554	0.05437919532
555	0.05423554803
556	0.05406093658
557	0.05391841979
558	0.05374552413
559	0.05351922096
560	0.05337723105
561	0.05320810391
562	0.05298640969
563	0.05284494996
564	0.05267950427
565	0.05251606934
566	0.05237532854
567	0.05215954672
568	0.05195821372
569	0.05181904304
570	0.0516746799
571	0.0515144922
572	0.05130334965
573	0.05115962715
574	0.0510028992
575	0.05080737908
576	0.05066542302
577	0.05045896953
578	0.05031803825
579	0.05016477118
580	0.04996265351
581	0.04982234759
582	0.04967238042
583	0.04953310092
584	0.04933482472
585	0.04919654789
586	0.04904942346
587	0.04885530398
588	0.04871764288
589	0.04853228965
590	0.04839668835
591	0.04825280175
592	0.04806297697
593	0.04792797872
594	0.0477871753
595	0.04765316827
596	0.04746693262
597	0.0473338878
598	0.04718109703
599	0.04699903323
600	0.04686652767
601	0.04671732145
602	0.04653932221
603	0.04640735635
604	0.04626163131
605	0.04608759302
606	0.04595616788
607	0.0458138247
608	0.04564364725
609	0.04551276439
610	0.04537370761
611	0.04520729423
612	0.04507695564
613	0.04494109343
614	0.04480704603
615	0.04464598099
616	0.04451580205
617	0.04438692144
618	0.04422739575
619	0.04409944144
620	0.04396932753
621	0.04381330304
622	0.04368589166
623	0.04355872525
624	0.04341082414
625	0.04328682731
626	0.04315952011
627	0.04300996235
628	0.04288357374
629	0.04276200214
630	0.04262001321
631	0.0425014599
632	0.04235841206
633	0.04223180693
634	0.04210645573
635	0.0419901952
636	0.04185385649
637	0.04174047188
638	0.04160330555
639	0.04147776595
640	0.0413534659
641	0.04124225224
642	0.04111131651
643	0.04100284454
644	0.04087870324
645	0.0407468373
646	0.04062360096
