iter	Passed	Remaining
0	15	15929
1	16	8141
2	16	5513
3	16	4199
4	17	3412
5	17	2885
6	17	2514
7	18	2233
8	18	2012
9	18	1838
10	18	1694
11	19	1570
12	19	1468
13	19	1372
14	19	1296
15	20	1235
16	20	1179
17	20	1128
18	21	1085
19	21	1040
20	21	998
21	21	962
22	21	931
23	22	897
24	22	866
25	22	841
26	22	817
27	22	796
28	23	776
29	23	758
30	23	744
31	24	732
32	24	718
33	24	709
34	25	697
35	25	690
36	26	682
37	26	674
38	27	665
39	27	654
40	27	650
41	28	644
42	28	635
43	28	629
44	29	619
45	29	612
46	29	605
47	30	601
48	30	593
49	30	586
50	31	581
51	31	578
52	32	573
53	32	566
54	32	559
55	33	557
56	33	556
57	34	554
58	34	550
59	34	545
60	35	541
61	35	536
62	36	537
63	36	534
64	37	533
65	37	534
66	38	531
67	38	528
68	39	527
69	40	532
70	41	538
71	41	534
72	42	539
73	42	534
74	43	534
75	43	529
76	43	525
77	44	523
78	44	521
79	45	519
80	45	516
81	45	513
82	46	509
83	46	505
84	46	501
85	46	497
86	47	493
87	47	490
88	47	487
89	47	484
90	48	481
91	48	478
92	49	480
93	49	477
94	49	473
95	50	473
96	50	470
97	50	467
98	51	466
99	51	465
100	52	463
101	52	460
102	52	460
103	53	459
104	53	460
105	54	459
106	54	457
107	55	459
108	56	460
109	56	458
110	56	455
111	57	454
112	57	453
113	58	451
114	58	448
115	58	446
116	58	443
117	58	440
118	59	438
119	59	435
120	59	433
121	59	431
122	60	428
123	60	427
124	61	429
125	61	428
126	62	428
127	62	427
128	63	426
129	63	424
130	63	421
131	63	420
132	64	418
133	64	418
134	65	417
135	65	415
136	66	418
137	67	420
138	67	419
139	68	421
140	68	419
141	69	420
142	70	420
143	70	418
144	71	420
145	72	421
146	72	418
147	72	417
148	73	418
149	73	417
150	73	415
151	74	417
152	75	417
153	76	419
154	76	417
155	77	417
156	77	418
157	78	416
158	79	418
159	79	416
160	79	415
161	80	414
162	80	413
163	80	411
164	81	410
165	81	408
166	81	408
167	82	407
168	82	407
169	83	408
170	84	407
171	84	405
172	84	406
173	85	407
174	86	407
175	86	406
176	87	405
177	88	406
178	88	405
179	89	407
180	90	408
181	90	407
182	91	408
183	92	411
184	93	412
185	94	412
186	94	412
187	95	411
188	96	412
189	96	412
190	97	411
191	98	413
192	99	414
193	100	416
194	100	416
195	101	415
196	101	415
197	102	414
198	102	413
199	103	414
200	104	415
201	105	417
202	105	416
203	106	414
204	107	416
205	107	414
206	107	413
207	108	413
208	108	412
209	109	410
210	109	409
211	110	409
212	111	410
213	111	410
214	113	412
215	113	412
216	113	411
217	114	411
218	115	410
219	115	410
220	116	411
221	117	411
222	117	410
223	118	410
224	119	411
225	120	412
226	120	411
227	121	410
228	121	408
229	122	409
230	122	407
231	122	406
232	123	407
233	124	407
234	125	407
235	125	407
236	126	408
237	127	408
238	128	408
239	128	406
240	128	405
241	129	405
242	129	404
243	130	404
244	131	404
245	131	403
246	132	403
247	133	405
248	134	405
249	135	405
250	135	404
251	136	404
252	136	404
253	137	402
254	137	402
255	138	401
256	139	401
257	140	402
258	140	402
259	141	402
260	141	401
261	142	400
262	142	399
263	143	399
264	143	397
265	143	396
266	144	396
267	144	395
268	145	394
269	145	394
270	146	393
271	146	392
272	146	391
273	147	390
274	148	390
275	148	389
276	148	387
277	149	387
278	149	387
279	150	385
280	150	385
281	151	384
282	151	384
283	152	384
284	153	384
285	153	383
286	154	383
287	154	381
288	154	380
289	155	379
290	155	378
291	155	377
292	155	376
293	156	375
294	156	374
295	156	372
296	157	372
297	157	371
298	157	370
299	158	369
300	158	368
301	159	368
302	160	368
303	160	367
304	160	365
305	161	365
306	161	365
307	161	363
308	162	362
309	162	361
310	162	360
311	162	359
312	163	359
313	164	359
314	165	359
315	166	359
316	166	358
317	166	357
318	167	357
319	168	357
320	168	356
321	169	356
322	169	356
323	170	356
324	171	355
325	171	354
326	171	353
327	172	353
328	172	352
329	173	351
330	173	351
331	173	349
332	174	349
333	175	349
334	175	348
335	176	348
336	177	348
337	177	347
338	178	347
339	178	346
340	179	346
341	179	345
342	180	345
343	181	345
344	181	344
345	182	344
346	182	344
347	184	344
348	184	344
349	185	343
350	185	343
351	185	342
352	186	341
353	186	340
354	187	339
355	187	338
356	187	337
357	188	337
358	188	336
359	189	337
360	190	336
361	190	336
362	190	334
363	191	334
364	191	333
365	192	332
366	192	332
367	193	331
368	193	331
369	194	330
370	195	332
371	196	331
372	197	331
373	197	330
374	198	330
375	199	330
376	199	330
377	200	329
378	200	328
379	201	328
380	202	328
381	202	328
382	203	327
383	203	327
384	204	326
385	204	325
386	205	324
387	205	324
388	206	323
389	206	322
390	206	322
391	207	321
392	208	321
393	208	321
394	209	320
395	209	319
396	210	319
397	210	318
398	210	317
399	211	316
400	211	316
401	212	315
402	212	314
403	213	314
404	213	313
405	214	313
406	214	312
407	214	311
408	215	311
409	216	311
410	216	310
411	216	309
412	217	308
413	217	308
414	218	308
415	218	307
416	219	306
417	220	306
418	220	306
419	221	306
420	222	305
421	222	305
422	223	304
423	223	303
424	223	302
425	224	301
426	224	301
427	225	301
428	226	301
429	227	301
430	228	301
431	228	300
432	229	300
433	230	300
434	230	299
435	230	298
436	231	298
437	232	298
438	232	297
439	233	297
440	233	296
441	234	295
442	235	295
443	236	295
444	237	295
445	237	295
446	238	295
447	238	294
448	239	293
449	239	293
450	240	292
451	241	292
452	242	292
453	243	292
454	243	292
455	244	291
456	245	291
457	245	290
458	246	290
459	246	289
460	246	288
461	247	287
462	247	286
463	247	286
464	248	285
465	248	284
466	248	284
467	249	283
468	250	283
469	250	282
470	251	282
471	251	281
472	251	280
473	252	280
474	252	279
475	253	278
476	253	278
477	254	277
478	254	277
479	255	276
480	255	275
481	255	274
482	256	274
483	256	273
484	256	272
485	257	272
486	257	271
487	257	270
488	258	269
489	258	268
490	258	268
491	258	267
492	259	266
493	259	265
494	259	264
495	259	264
496	260	263
497	260	262
498	260	261
499	260	260
500	261	260
501	261	259
502	261	258
503	261	257
504	262	256
505	262	256
506	262	255
507	262	254
508	263	253
509	263	253
510	263	252
511	263	251
512	264	250
513	264	250
514	264	249
515	265	248
516	265	248
517	265	247
518	265	246
519	266	245
520	266	245
521	266	244
522	267	243
523	267	242
524	267	242
525	267	241
526	267	240
527	268	239
528	268	239
529	268	238
530	268	237
531	269	236
532	269	236
533	269	235
534	270	234
535	270	234
536	270	233
537	271	233
538	271	232
539	272	231
540	272	231
541	272	230
542	273	229
543	273	229
544	273	228
545	274	228
546	274	227
547	274	226
548	275	226
549	275	225
550	275	224
551	276	224
552	276	223
553	276	222
554	276	222
555	277	221
556	277	220
557	277	220
558	278	219
559	278	218
560	278	218
561	278	217
562	279	216
563	279	215
564	279	215
565	279	214
566	280	213
567	280	213
568	280	212
569	280	211
570	281	211
571	281	210
572	281	209
573	281	209
574	282	208
575	282	207
576	282	207
577	282	206
578	283	205
579	283	205
580	283	204
581	283	203
582	284	203
583	284	202
584	284	201
585	284	201
586	285	200
587	285	200
588	285	199
589	286	198
590	286	198
591	286	197
592	286	196
593	286	196
594	287	195
595	287	194
596	287	194
597	288	193
598	288	193
599	288	192
600	288	191
601	289	191
602	289	190
603	289	189
604	290	189
605	290	188
606	290	188
607	291	187
608	291	187
609	291	186
610	291	185
611	292	185
612	292	184
613	292	184
614	292	183
615	293	182
616	293	182
617	293	181
618	294	181
619	294	180
620	294	179
621	294	179
622	295	178
623	295	178
624	295	177
625	296	176
626	296	176
627	296	175
628	296	175
629	297	174
630	297	173
631	297	173
632	297	172
633	298	172
634	298	171
635	298	170
636	298	170
637	299	169
638	299	169
639	299	168
640	299	167
641	300	167
642	300	166
643	300	166
644	300	165
645	301	164
646	301	164
647	301	163
648	302	163
649	302	162
650	302	162
651	302	161
652	303	161
653	303	160
654	303	159
655	303	159
656	303	158
657	304	158
658	304	157
659	304	157
660	305	156
661	305	155
662	305	155
663	305	154
664	306	154
665	306	153
666	306	153
667	307	152
668	307	152
669	307	151
670	307	150
671	307	150
672	308	149
673	308	149
674	308	148
675	309	148
676	309	147
677	309	147
678	309	146
679	310	145
680	310	145
681	310	144
682	310	144
683	311	143
684	311	143
685	311	142
686	311	142
687	312	141
688	312	140
689	312	140
690	312	139
691	313	139
692	313	138
693	313	138
694	313	137
695	314	137
696	314	136
697	314	136
698	315	135
699	315	135
700	315	134
701	315	134
702	316	133
703	316	133
704	316	132
705	317	132
706	317	131
707	317	131
708	317	130
709	318	129
710	318	129
711	318	128
712	319	128
713	319	127
714	319	127
715	319	126
716	320	126
717	320	125
718	320	125
719	320	124
720	321	124
721	321	123
722	321	123
723	322	122
724	322	122
725	322	121
726	323	121
727	323	120
728	323	120
729	324	119
730	324	119
731	324	118
732	324	118
733	324	117
734	325	117
735	325	116
736	325	116
737	326	115
738	326	115
739	326	114
740	327	114
741	327	113
742	327	113
743	328	112
744	328	112
745	328	111
746	329	111
747	329	111
748	330	110
749	330	110
750	330	109
751	331	109
752	331	108
753	331	108
754	332	107
755	332	107
756	332	106
757	332	106
758	333	105
759	333	105
760	333	104
761	334	104
762	334	103
763	334	103
764	335	103
765	335	102
766	336	102
767	336	101
768	336	101
769	337	100
770	337	100
771	337	99
772	338	99
773	338	98
774	338	98
775	338	97
776	339	97
777	339	96
778	339	96
779	340	95
780	340	95
781	341	95
782	341	94
783	341	94
784	342	93
785	342	93
786	343	92
787	343	92
788	344	92
789	344	91
790	344	91
791	345	90
792	346	90
793	348	90
794	348	89
795	349	89
796	350	89
797	351	89
798	352	88
799	353	88
800	353	87
801	354	87
802	355	87
803	355	86
804	356	86
805	356	85
806	357	85
